hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00000, 127.029, -0.00049097, 127.029, -120, 127.029, 120, 0, 0, 28.8494, 141.356, 25.9886, 29.1952, 25.5496, -95.6207, 5.76561, -65.9685
0, 1.00000, 127.03, 1.47055E-008, 127.03, -120, 127.03, 120, 0, 0, 6.35981E-005, -88.0528, 6.26181E-005, 153.295, 6.4065E-005, 30.2187, 3.54911E-006, 116.464
0, 2.00000, 127.028, -0.000575588, 127.029, -120.001, 127.029, 119.999, 0, 0, 33.4695, 141.912, 31.1218, 30.5748, 29.9998, -94.8315, 6.90266, -72.5077
0, 3.00000, 127.029, -0.000542907, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.091, 141.014, 29.4364, 29.472, 28.6197, -95.8099, 6.58305, -70.3456
0, 4.00000, 127.029, -0.000521321, 127.029, -120.001, 127.029, 120, 0, 0, 31.1373, 140.459, 28.2922, 28.7435, 27.6731, -96.4288, 6.36133, -68.7604
0, 5.00000, 127.029, -0.000529881, 127.029, -120.001, 127.029, 119.999, 0, 0, 31.132, 141.35, 28.4675, 29.635, 27.729, -95.5197, 6.32838, -69.3017
0, 6.00000, 127.029, -0.000541992, 127.029, -120.001, 127.029, 119.999, 0, 0, 31.2824, 142.344, 28.8312, 30.6429, 27.9422, -94.5013, 6.32773, -70.1003
0, 7.00000, 127.029, -0.000551083, 127.029, -120.001, 127.029, 119.999, 0, 0, 31.3781, 143.127, 29.0927, 31.421, 28.0882, -93.7042, 6.32056, -70.6934
0, 8.00000, 127.029, -0.000552398, 127.029, -120.001, 127.029, 119.999, 0, 0, 31.4106, 143.206, 29.1431, 31.5045, 28.1231, -93.6157, 6.32666, -70.8097
0, 9.00000, 127.029, -0.000548241, 127.029, -120.001, 127.029, 119.999, 0, 0, 31.4267, 142.736, 29.0664, 31.0569, 28.1024, -94.076, 6.3524, -70.6123
0, 10.00000, 127.029, -0.00054482, 127.029, -120.001, 127.029, 119.999, 0, 0, 31.4591, 142.318, 29.0158, 30.6584, 28.0996, -94.486, 6.38021, -70.4497
0, 11.00000, 127.029, -0.000545383, 127.029, -120.001, 127.029, 119.999, 0, 0, 31.5799, 142.158, 29.1149, 30.525, 28.2004, -94.6334, 6.41948, -70.5536
0, 12.00000, 127.029, -0.000555718, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.0009, 142.471, 29.6379, 30.9025, 28.6226, -94.2877, 6.5162, -71.316
0, 13.00000, 127.029, -0.000562496, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.2895, 142.649, 29.9897, 31.1241, 28.9095, -94.0864, 6.58434, -71.8085
0, 14.00000, 127.029, -0.000567455, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.5108, 142.76, 30.2551, 31.2681, 29.128, -93.9586, 6.638, -72.1688
0, 15.00000, 127.029, -0.000575039, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.715, 143.168, 30.5639, 31.6904, 29.353, -93.5379, 6.67426, -72.6577
0, 16.00000, 127.029, -0.000580569, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.8585, 143.473, 30.785, 32.0027, 29.5125, -93.2244, 6.6989, -73.0056
0, 17.00000, 127.029, -0.000585011, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.9703, 143.724, 30.9613, 32.2575, 29.6388, -92.9668, 6.717, -73.2907
0, 18.00000, 127.029, -0.000586537, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.998, 143.83, 31.0134, 32.3612, 29.6729, -92.8594, 6.7198, -73.3836
0, 19.00000, 127.029, -0.000587393, 127.029, -120.001, 127.029, 119.999, 0, 0, 33.0063, 143.902, 31.0379, 32.4308, 29.686, -92.7859, 6.71904, -73.4395
0, 20.00000, 127.029, -0.000588098, 127.029, -120.001, 127.029, 119.999, 0, 0, 33.0111, 143.965, 31.0562, 32.4913, 29.6954, -92.7222, 6.71744, -73.4804
0, 21.00000, 127.029, -0.000570355, 127.029, -120.001, 127.029, 119.999, 0, 0, 32.4841, 143.105, 30.2954, 31.598, 29.1271, -93.605, 6.61734, -72.3522
0, 22.00000, 127.029, -0.000530795, 127.029, -120.001, 127.029, 119.999, 0, 0, 31.3845, 141, 28.6633, 29.3582, 27.9233, -95.7859, 6.41972, -69.7384
0, 23.00000, 127.029, -0.000504327, 127.029, -120.001, 127.029, 120, 0, 0, 30.6871, 139.487, 27.6054, 27.6901, 27.1528, -97.3727, 6.29784, -67.8899
0, 24.00000, 127.029, -0.000485092, 127.029, -120, 127.029, 120, 0, 0, 30.2011, 138.332, 26.8564, 26.3853, 26.6126, -98.5936, 6.21494, -66.4974
0, 25.00000, 127.029, -0.000462975, 127.029, -120, 127.029, 120, 0, 0, 29.6483, 136.974, 26.0059, 24.8052, 25.9995, -100.044, 6.11992, -64.8372
0, 26.00000, 127.029, -0.000448222, 127.029, -120, 127.029, 120, 0, 0, 29.2982, 136.026, 25.4562, 23.679, 25.6075, -101.063, 6.06182, -63.7047
0, 27.00000, 127.029, -0.000436295, 127.029, -120, 127.029, 120, 0, 0, 29.0295, 135.23, 25.0253, 22.7201, 25.3039, -101.922, 6.01851, -62.7773
0, 28.00000, 127.029, -0.000458022, 127.029, -120, 127.029, 120, 0, 0, 29.715, 136.367, 25.9571, 24.1609, 26.0173, -100.669, 6.15626, -64.5993
0, 29.00000, 127.029, -0.00047621, 127.029, -120, 127.029, 120, 0, 0, 30.2994, 137.277, 26.7495, 25.2873, 26.6265, -99.6729, 6.27525, -66.0574
0, 30.00000, 127.028, -0.000490718, 127.029, -120.001, 127.029, 120, 0, 0, 30.7807, 137.961, 27.3951, 26.1243, 27.1261, -98.9264, 6.37603, -67.177
