hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 2.67635, 1.99734, 2.79455, 1.84744, 2.86527, 2.02475, 0, 0
0, 1.00000, -3.27469E-007, 1.28824E-005, -3.00913E-007, 1.26749E-005, -1.34413E-007, 1.28016E-005, 0, 0
0, 2.00000, 3.19844, 2.25446, 3.3534, 2.15048, 3.36597, 2.33668, 0, 0
0, 3.00000, 3.00277, 2.21697, 3.15037, 2.09201, 3.18478, 2.28231, 0, 0
0, 4.00000, 2.87268, 2.1851, 3.01463, 2.04656, 3.06364, 2.23877, 0, 0
0, 5.00000, 2.91902, 2.13988, 3.05661, 2.01036, 3.09998, 2.19427, 0, 0
0, 6.00000, 2.98657, 2.09831, 3.12071, 1.98008, 3.15603, 2.15536, 0, 0
0, 7.00000, 3.03691, 2.06345, 3.16804, 1.9539, 3.19735, 2.12223, 0, 0
0, 8.00000, 3.04438, 2.06119, 3.17538, 1.95242, 3.20408, 2.12026, 0, 0
0, 9.00000, 3.02219, 2.08646, 3.15558, 1.97269, 3.18741, 2.1451, 0, 0
0, 10.00000, 3.00407, 2.10996, 3.13966, 1.9918, 3.17419, 2.1683, 0, 0
0, 11.00000, 3.00877, 2.12549, 3.14602, 2.00646, 3.18048, 2.18484, 0, 0
0, 12.00000, 3.07043, 2.13455, 3.20967, 2.02206, 3.23747, 2.19889, 0, 0
0, 13.00000, 3.11099, 2.14237, 3.25174, 2.03396, 3.27525, 2.21006, 0, 0
0, 14.00000, 3.14085, 2.14961, 3.28289, 2.04413, 3.30322, 2.21987, 0, 0
0, 15.00000, 3.18456, 2.13974, 3.32623, 2.04022, 3.34159, 2.21267, 0, 0
0, 16.00000, 3.21631, 2.13155, 3.35758, 2.03642, 3.36933, 2.20633, 0, 0
0, 17.00000, 3.24182, 2.1243, 3.38276, 2.03278, 3.39154, 2.20059, 0, 0
0, 18.00000, 3.25037, 2.12009, 3.39099, 2.02987, 3.39882, 2.19675, 0, 0
0, 19.00000, 3.2551, 2.11657, 3.39538, 2.02716, 3.40267, 2.19335, 0, 0
0, 20.00000, 3.25893, 2.11335, 3.39893, 2.02462, 3.40578, 2.19023, 0, 0
0, 21.00000, 3.1559, 2.12937, 3.29614, 2.02681, 3.31484, 2.19954, 0, 0
0, 22.00000, 2.92693, 2.17245, 3.06812, 2.03868, 3.11337, 2.22783, 0, 0
0, 23.00000, 2.77373, 2.20332, 2.91575, 2.0483, 2.97899, 2.2488, 0, 0
0, 24.00000, 2.66241, 2.22676, 2.80521, 2.05615, 2.88157, 2.26512, 0, 0
0, 25.00000, 2.53426, 2.25241, 2.67777, 2.06389, 2.76927, 2.28244, 0, 0
0, 26.00000, 2.44883, 2.27081, 2.59297, 2.0702, 2.69464, 2.29533, 0, 0
0, 27.00000, 2.37986, 2.28686, 2.52464, 2.07635, 2.63456, 2.30699, 0, 0
0, 28.00000, 2.50795, 2.2847, 2.65433, 2.09024, 2.74955, 2.31423, 0, 0
0, 29.00000, 2.61514, 2.28312, 2.76305, 2.10197, 2.84597, 2.32063, 0, 0
0, 30.00000, 2.70072, 2.28328, 2.85003, 2.11263, 2.92317, 2.32727, 0, 0
0, 31.00000, 2.83121, 2.27646, 2.98178, 2.12231, 3.04, 2.32978, 0, 0
0, 32.00000, 2.98589, 2.26627, 3.13792, 2.13174, 3.17841, 2.33066, 0, 0
