hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00000, 126.47, 0.237294, 126.479, -119.825, 126.485, 120.197, 0, 0, 78.2406, 136.833, 68.6184, 24.8047, 71.1395, -98.6663, 13.1869, -65.3628
0, 1.00000, 127.03, 1.68964E-007, 127.03, -120, 127.03, 120, 0, 0, 6.35285E-005, -89.251, 6.36656E-005, 153.103, 6.32761E-005, 30.8961, 2.77451E-006, 53.4956
0, 2.00000, 126.376, 0.271685, 126.354, -119.799, 126.383, 120.227, 0, 0, 90.5143, 137.422, 82.4396, 26.6377, 83.4321, -97.8266, 16.1382, -74.4647
0, 3.00000, 126.41, 0.265784, 126.4, -119.803, 126.42, 120.222, 0, 0, 87.0535, 136.501, 78.0327, 25.3456, 79.7503, -98.8476, 15.3274, -71.3887
0, 4.00000, 126.433, 0.261027, 126.43, -119.807, 126.445, 120.218, 0, 0, 84.6287, 135.934, 75.0278, 24.4842, 77.2071, -99.4923, 14.7715, -69.1386
0, 5.00000, 126.426, 0.255999, 126.421, -119.811, 126.437, 120.213, 0, 0, 84.3842, 136.836, 75.3434, 25.4593, 77.2138, -98.5522, 14.6408, -70.0067
0, 6.00000, 126.415, 0.251567, 126.406, -119.814, 126.425, 120.209, 0, 0, 84.5322, 137.851, 76.1568, 26.577, 77.6427, -97.4942, 14.5935, -71.2583
0, 7.00000, 126.406, 0.247459, 126.394, -119.817, 126.416, 120.206, 0, 0, 84.5882, 138.725, 76.7793, 27.5159, 77.9414, -96.5901, 14.5353, -72.2836
0, 8.00000, 126.405, 0.247602, 126.393, -119.817, 126.415, 120.206, 0, 0, 84.6539, 138.735, 76.8555, 27.5349, 78.0026, -96.5704, 14.5552, -72.3759
0, 9.00000, 126.409, 0.250719, 126.398, -119.815, 126.419, 120.209, 0, 0, 84.836, 138.21, 76.7174, 26.9985, 78.022, -97.0923, 14.6546, -71.994
0, 10.00000, 126.412, 0.253128, 126.402, -119.813, 126.422, 120.211, 0, 0, 85.0124, 137.825, 76.6598, 26.6056, 78.0771, -97.476, 14.7378, -71.7359
0, 11.00000, 126.411, 0.255018, 126.4, -119.812, 126.421, 120.212, 0, 0, 85.3777, 137.662, 76.9544, 26.4661, 78.3813, -97.6283, 14.8491, -71.8498
0, 12.00000, 126.4, 0.256567, 126.386, -119.811, 126.409, 120.213, 0, 0, 86.4249, 137.984, 78.3164, 26.9081, 79.4999, -97.2663, 15.0934, -72.9413
0, 13.00000, 126.393, 0.257807, 126.376, -119.81, 126.401, 120.214, 0, 0, 87.1514, 138.168, 79.2378, 27.1698, 80.2648, -97.0551, 15.2686, -73.6389
0, 14.00000, 126.387, 0.258924, 126.369, -119.809, 126.395, 120.215, 0, 0, 87.7284, 138.286, 79.9525, 27.3458, 80.8644, -96.917, 15.4119, -74.1541
0, 15.00000, 126.38, 0.258053, 126.359, -119.81, 126.387, 120.215, 0, 0, 88.1517, 138.702, 80.7015, 27.8184, 81.4057, -96.481, 15.4897, -74.8771
0, 16.00000, 126.374, 0.257251, 126.352, -119.81, 126.381, 120.214, 0, 0, 88.4774, 139.043, 81.2932, 28.2006, 81.8285, -96.1247, 15.549, -75.453
0, 17.00000, 126.37, 0.256646, 126.347, -119.811, 126.377, 120.213, 0, 0, 88.6845, 139.276, 81.6811, 28.4581, 82.1033, -95.8832, 15.5848, -75.8312
0, 18.00000, 126.369, 0.256168, 126.345, -119.811, 126.375, 120.213, 0, 0, 88.7307, 139.393, 81.811, 28.5825, 82.1823, -95.7621, 15.5885, -75.9878
0, 19.00000, 126.368, 0.255796, 126.344, -119.811, 126.375, 120.213, 0, 0, 88.7331, 139.466, 81.8629, 28.6583, 82.2061, -95.687, 15.5845, -76.0739
0, 20.00000, 126.368, 0.255442, 126.343, -119.812, 126.374, 120.212, 0, 0, 88.7278, 139.531, 81.9003, 28.7236, 82.2194, -95.6213, 15.5774, -76.1412
0, 21.00000, 126.389, 0.256966, 126.372, -119.81, 126.397, 120.214, 0, 0, 87.2925, 138.418, 79.5553, 27.4532, 80.4684, -96.7797, 15.294, -74.0669
0, 22.00000, 126.424, 0.260044, 126.418, -119.808, 126.435, 120.216, 0, 0, 85.1548, 136.483, 75.9335, 25.1735, 77.7969, -98.8229, 14.9082, -70.5566
0, 23.00000, 126.452, 0.262795, 126.456, -119.806, 126.465, 120.219, 0, 0, 83.5411, 134.817, 73.1183, 23.1342, 75.7436, -100.608, 14.6467, -67.5686
0, 24.00000, 126.471, 0.264729, 126.481, -119.804, 126.486, 120.22, 0, 0, 82.5119, 133.653, 71.2888, 21.6645, 74.4192, -101.871, 14.496, -65.4935
0, 25.00000, 126.492, 0.26677, 126.509, -119.802, 126.509, 120.222, 0, 0, 81.388, 132.334, 69.2959, 19.947, 72.9743, -103.318, 14.3418, -63.126
0, 26.00000, 126.506, 0.268284, 126.528, -119.801, 126.524, 120.223, 0, 0, 80.6904, 131.42, 68.0211, 18.7311, 72.06, -104.33, 14.2596, -61.519
0, 27.00000, 126.517, 0.269587, 126.542, -119.8, 126.535, 120.224, 0, 0, 80.1989, 130.697, 67.0881, 17.7561, 71.3984, -105.135, 14.2104, -60.2862
0, 28.00000, 126.492, 0.270306, 126.51, -119.8, 126.509, 120.225, 0, 0, 81.9587, 131.945, 69.6546, 19.5437, 73.4086, -103.719, 14.5093, -63.1645
0, 29.00000, 126.473, 0.270995, 126.484, -119.799, 126.488, 120.225, 0, 0, 83.4044, 132.887, 71.7506, 20.861, 75.0556, -102.658, 14.7753, -65.3558
0, 30.00000, 126.46, 0.271604, 126.466, -119.799, 126.474, 120.226, 0, 0, 84.3959, 133.475, 73.1681, 21.6728, 76.1762, -101.999, 14.9692, -66.7531
0, 31.00000, 126.436, 0.271701, 126.434, -119.799, 126.448, 120.226, 0, 0, 86.1137, 134.652, 75.7623, 23.2193, 78.1762, -100.704, 15.3035, -69.2785
0, 32.00000, 126.41, 0.271667, 126.4, -119.799, 126.42, 120.226, 0, 0, 87.9673, 135.874, 78.5719, 24.7726, 80.3418, -99.3745, 15.6819, -71.8354
0, 33.00000, 126.393, 0.271734, 126.377, -119.799, 126.402, 120.226, 0, 0, 89.2239, 136.642, 80.4607, 25.7265, 81.8037, -98.5466, 15.9492, -73.4446
0, 34.00000, 126.408, 0.272435, 126.396, -119.799, 126.417, 120.227, 0, 0, 88.2861, 135.919, 78.9449, 24.8553, 80.6714, -99.3171, 15.7586, -72.0783
