hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 6.67354, 5.94806, 7.26913, 5.35441, 7.48545, 6.16702, 0, 0
0, 1.00000, -2.73434E-007, 1.2861E-005, -2.70598E-007, 1.26912E-005, -1.24945E-007, 1.27785E-005, 0, 0
0, 2.00000, 8.02329, 6.68847, 8.77275, 6.23768, 8.78842, 7.11213, 0, 0
0, 3.00000, 7.51746, 6.58602, 8.22921, 6.0717, 8.31875, 6.94525, 0, 0
0, 4.00000, 7.181, 6.49718, 7.86539, 5.9416, 8.00435, 6.81209, 0, 0
0, 5.00000, 7.30091, 6.36098, 7.97528, 5.83128, 8.09683, 6.68015, 0, 0
0, 6.00000, 7.47584, 6.23468, 8.14463, 5.73791, 8.24046, 6.56548, 0, 0
0, 7.00000, 7.6173, 6.11946, 8.28001, 5.65012, 8.35513, 6.45871, 0, 0
0, 8.00000, 7.62555, 6.12205, 8.28894, 5.65277, 8.36365, 6.46191, 0, 0
0, 9.00000, 7.56316, 6.20493, 8.23265, 5.71983, 8.31801, 6.54217, 0, 0
0, 10.00000, 7.52098, 6.26846, 8.19547, 5.77199, 8.28818, 6.60434, 0, 0
0, 11.00000, 7.53298, 6.31438, 8.21297, 5.81549, 8.30502, 6.65382, 0, 0
0, 12.00000, 7.69238, 6.3386, 8.38316, 5.85938, 8.45278, 6.69722, 0, 0
0, 13.00000, 7.79727, 6.36003, 8.49573, 5.89314, 8.55083, 6.73147, 0, 0
0, 14.00000, 7.87627, 6.38069, 8.58106, 5.92274, 8.62525, 6.76208, 0, 0
0, 15.00000, 7.98744, 6.34905, 8.69427, 5.90859, 8.72231, 6.74095, 0, 0
0, 16.00000, 8.07639, 6.32108, 8.78455, 5.89469, 8.79973, 6.72117, 0, 0
0, 17.00000, 8.13552, 6.30076, 8.84438, 5.88389, 8.85096, 6.70621, 0, 0
0, 18.00000, 8.15909, 6.28677, 8.86742, 5.87397, 8.87074, 6.6938, 0, 0
0, 19.00000, 8.17091, 6.27635, 8.87874, 5.86582, 8.88035, 6.68408, 0, 0
0, 20.00000, 8.18061, 6.26675, 8.88772, 5.85817, 8.88801, 6.67483, 0, 0
0, 21.00000, 7.85159, 6.33343, 8.55024, 5.87428, 8.59854, 6.70891, 0, 0
0, 22.00000, 7.32124, 6.45723, 8.007, 5.91524, 8.1335, 6.78011, 0, 0
0, 23.00000, 6.89099, 6.56428, 7.56701, 5.95396, 7.75755, 6.84457, 0, 0
0, 24.00000, 6.60156, 6.63844, 7.27138, 5.9818, 7.50513, 6.89021, 0, 0
0, 25.00000, 6.27926, 6.71843, 6.94183, 6.01021, 7.22388, 6.93812, 0, 0
0, 26.00000, 6.06426, 6.7756, 6.72249, 6.0326, 7.03684, 6.97414, 0, 0
0, 27.00000, 5.90013, 6.8231, 6.55529, 6.05308, 6.89456, 7.00547, 0, 0
0, 28.00000, 6.26776, 6.80789, 6.93917, 6.091, 7.2243, 7.0309, 0, 0
0, 29.00000, 6.55966, 6.79868, 7.24473, 6.12355, 7.48687, 7.05439, 0, 0
0, 30.00000, 6.7519, 6.79644, 7.4465, 6.14834, 7.66047, 7.07394, 0, 0
0, 31.00000, 7.11513, 6.7663, 7.82438, 6.17128, 7.98505, 7.08301, 0, 0
0, 32.00000, 7.5032, 6.73058, 8.22822, 6.19203, 8.33211, 7.08918, 0, 0
0, 33.00000, 7.75868, 6.70938, 8.49441, 6.20773, 8.56099, 7.09571, 0, 0
0, 34.00000, 7.54249, 6.74583, 8.27209, 6.21144, 8.37008, 7.11048, 0, 0
0, 35.00000, 7.02755, 6.82552, 7.73989, 6.21358, 7.91368, 7.13646, 0, 0
0, 36.00000, 6.6103, 6.89071, 7.30878, 6.21539, 7.54438, 7.15795, 0, 0
0, 37.00000, 6.48187, 6.91647, 7.17616, 6.22115, 7.43117, 7.17008, 0, 0
0, 38.00000, 6.84745, 6.86583, 7.55455, 6.22567, 7.75539, 7.15811, 0, 0
0, 39.00000, 7.08842, 6.83288, 7.804, 6.22881, 7.96935, 7.15056, 0, 0
0, 40.00000, 7.26621, 6.80881, 7.98815, 6.23125, 8.12736, 7.14524, 0, 0
0, 41.00000, 7.54562, 6.57575, 8.25545, 6.05514, 8.35139, 6.93018, 0, 0
0, 42.00000, 7.75026, 6.38013, 8.44831, 5.90295, 8.51254, 6.74607, 0, 0
0, 43.00000, 7.91644, 6.20047, 8.60258, 5.76008, 8.64089, 6.57449, 0, 0
0, 44.00000, 7.56572, 6.13238, 8.22699, 5.64882, 8.31512, 6.46328, 0, 0
0, 45.00000, 7.11105, 6.08058, 7.74359, 5.53792, 7.89728, 6.35704, 0, 0
0, 46.00000, 6.80858, 6.03263, 7.42066, 5.4514, 7.61797, 6.27209, 0, 0
0, 47.00000, 6.65124, 5.96162, 7.24746, 5.36382, 7.46706, 6.17906, 0, 0
0, 48.00000, 6.6036, 5.87726, 7.18802, 5.27922, 7.41373, 6.08436, 0, 0
0, 49.00000, 6.56638, 5.79679, 7.13995, 5.19975, 7.37021, 5.99499, 0, 0
0, 50.00000, 6.63265, 5.72776, 7.20139, 5.14527, 7.42146, 5.92905, 0, 0
0, 51.00000, 6.97903, 5.623, 7.55306, 5.09723, 7.72138, 5.85724, 0, 0
0, 52.00000, 7.25657, 5.53134, 7.83402, 5.05137, 7.96096, 5.79144, 0, 0
0, 53.00000, 7.44042, 5.46466, 8.01938, 5.01539, 8.11898, 5.74141, 0, 0
0, 54.00000, 7.2559, 5.60102, 7.8414, 5.11554, 7.96909, 5.86534, 0, 0
0, 55.00000, 7.11499, 5.71882, 7.70678, 5.20458, 7.85624, 5.9742, 0, 0
0, 56.00000, 7.00042, 5.82722, 7.59872, 5.28865, 7.76599, 6.07608, 0, 0
0, 57.00000, 6.9079, 5.90735, 7.51064, 5.34965, 7.69226, 6.15049, 0, 0
0, 58.00000, 6.81985, 5.98793, 7.42725, 5.41177, 7.62251, 6.22587, 0, 0
0, 59.00000, 6.76069, 6.0493, 7.37205, 5.46007, 7.57665, 6.28414, 0, 0
0, 60.00000, 6.89493, 6.11718, 7.52014, 5.54153, 7.70606, 6.3708, 0, 0
0, 61.00000, 7.23893, 6.21335, 7.8922, 5.67827, 8.02895, 6.51155, 0, 0
0, 62.00000, 7.46409, 6.29335, 8.13775, 5.78327, 8.24266, 6.62171, 0, 0
0, 63.00000, 7.63311, 6.36809, 8.32377, 5.87563, 8.40492, 6.71999, 0, 0
0, 64.00000, 7.75131, 6.43327, 8.45541, 5.95198, 8.52017, 6.80239, 0, 0
0, 65.00000, 7.84501, 6.49685, 8.5611, 6.02348, 8.613, 6.88031, 0, 0
0, 66.00000, 7.90627, 6.54777, 8.63123, 6.07892, 8.67479, 6.94117, 0, 0
0, 67.00000, 7.53818, 6.41179, 8.22959, 5.90274, 8.32473, 6.75604, 0, 0
0, 68.00000, 7.26665, 6.28821, 7.93027, 5.75109, 8.06361, 6.59436, 0, 0
0, 69.00000, 7.04925, 6.16587, 7.68822, 5.60801, 7.85185, 6.44031, 0, 0
0, 70.00000, 6.97969, 6.06458, 7.60366, 5.50483, 7.77643, 6.32507, 0, 0
0, 71.00000, 6.94438, 5.96586, 7.55551, 5.40878, 7.73239, 6.21657, 0, 0
0, 72.00000, 6.91724, 5.8721, 7.51645, 5.31847, 7.69629, 6.11422, 0, 0
0, 73.00000, 6.80052, 5.89219, 7.39639, 5.32061, 7.59345, 6.12244, 0, 0
0, 74.00000, 6.56478, 6.04073, 7.1656, 5.4246, 7.39878, 6.25299, 0, 0
0, 75.00000, 6.40694, 6.15278, 7.01248, 5.50582, 7.26999, 6.3537, 0, 0
0, 76.00000, 6.42629, 6.23374, 7.04126, 5.58327, 7.29709, 6.44108, 0, 0
0, 77.00000, 6.91548, 6.2312, 7.55448, 5.64962, 7.73864, 6.4938, 0, 0
0, 78.00000, 7.30435, 6.23831, 7.9637, 5.71036, 8.09124, 6.54534, 0, 0
0, 79.00000, 7.5599, 6.25014, 8.23349, 5.75667, 8.32405, 6.58675, 0, 0
0, 80.00000, 7.06529, 6.39077, 7.73054, 5.8177, 7.89421, 6.68036, 0, 0
0, 81.00000, 6.60933, 6.53366, 7.26776, 5.8858, 7.49961, 6.77993, 0, 0
0, 82.00000, 6.30441, 6.63802, 6.95923, 5.93918, 7.23703, 6.85569, 0, 0
0, 83.00000, 6.12178, 6.71862, 6.77636, 5.98776, 7.08201, 6.92007, 0, 0
0, 84.00000, 6.01033, 6.77946, 6.66611, 6.02818, 6.98885, 6.97174, 0, 0
0, 85.00000, 5.92011, 6.83463, 6.57752, 6.0663, 6.9142, 7.0198, 0, 0
0, 86.00000, 6.07609, 6.7626, 6.73289, 6.02193, 7.04593, 6.96106, 0, 0
0, 87.00000, 6.49204, 6.52967, 7.14365, 5.86562, 7.39292, 6.76195, 0, 0
